(0.78, 1.15)
(0.76, 1.15)
(0.73, 1.15)
(0.71, 1.15)
(0.68, 1.15)
(0.65, 1.15)
(0.63, 1.15)
(0.6, 1.15)
(0.58, 1.15)
(0.54, 1.15)
(0.52, 1.15)
(0.49, 1.15)
(0.47, 1.15)
(0.43, 1.13)
(0.41, 1.12)
(0.38, 1.09)
(0.36, 1.07)
(0.35, 1.05)
(0.35, 1.01)
(0.35, 0.98)
(0.35, 0.95)
(0.35, 0.92)
(0.36, 0.89)
(0.36, 0.87)
(0.36, 0.84)
(0.36, 0.82)
(0.36, 0.79)
(0.36, 0.77)
(0.36, 0.73)
(0.36, 0.71)
(0.36, 0.68)
(0.36, 0.66)
(0.36, 0.63)
(0.36, 0.6)
(0.36, 0.58)
(0.36, 0.55)
(0.36, 0.53)
(0.36, 0.5)
(0.36, 0.47)
(0.36, 0.44)
(0.36, 0.42)
(0.36, 0.39)
(0.36, 0.37)
(0.36, 0.34)
(0.36, 0.31)
(0.36, 0.29)
(0.36, 0.26)
(0.36, 0.24)
(0.36, 0.21)
(0.36, 0.18)
(0.36, 0.15)
(0.36, 0.13)
(0.36, 0.1)
(0.36, 0.07)
(0.36, 0.04)
(-5, -5)
(0.36, 0.02)
(0.36, 0.01)
(0.36, 0.02)
(0.36, 0.04)
(0.36, 0.07)
(0.36, 0.1)
(0.36, 0.12)
(0.36, 0.15)
(0.36, 0.17)
(0.35, 0.2)
(0.35, 0.23)
(0.35, 0.26)
(0.35, 0.28)
(0.36, 0.31)
(0.36, 0.33)
(0.36, 0.36)
(0.36, 0.39)
(0.36, 0.4)
(0.36, 0.43)
(0.38, 0.46)
(0.4, 0.5)
(0.42, 0.52)
(0.45, 0.55)
(0.47, 0.55)
(0.51, 0.55)
(0.53, 0.55)
(0.56, 0.55)
(0.59, 0.55)
(0.62, 0.55)
(0.64, 0.56)
(0.67, 0.56)
(0.69, 0.56)
(0.72, 0.56)
(0.75, 0.56)
(0.77, 0.56)
(0.8, 0.56)
(0.82, 0.56)
(0.85, 0.56)
(0.88, 0.56)
(0.91, 0.55)
(0.94, 0.55)
(0.98, 0.54)
(1.02, 0.54)
(1.05, 0.53)
(1.06, 0.51)
(1.08, 0.49)
(1.08, 0.48)
(1.08, 0.47)
(1.09, 0.46)
(1.09, 0.45)
(1.1, 0.42)
(1.12, 0.39)
(1.13, 0.36)
(1.14, 0.34)
